Job Title,Department,Age,Gender,Marital Status,Years of Service,Mode of Exit,Date of Exit,Reasons For Exit,Salary,Status
Data Scientist,Billing,31,Male,Single,3,,,,359.75,0
Product Manager,Sales & Marketing,27,Male,Married,8,,,,391.88,0
Software Developer,Field Operations,26,Female,Single,7,,,,265.38,0
Customer Support Agent,Network Operations,24,Female,Married,7,,,,305.88,0
Billing Specialist,Data Analytics,43,Male,Married,1,,,,250.75,0
Product Manager,Billing,25,Male,Married,8,,,,127.63,0
Telecom Technician,Sales & Marketing,60,Female,Married,9,Retirement,4/26/2023,Restructuring,354.6666667,1
Product Manager,Project Management,44,Male,Married,5,,,,149.79,0
Software Developer,Customer Service,41,Female,Married,4,,,,305.67,0
Software Developer,Field Operations,45,Male,Married,6,,,,590.79,0
Project Manager,Human Resources,25,Male,Single,8,,,,371.17,0
Billing Specialist,Billing,56,Female,Married,6,Termination,11/28/2024,Personal reasons,461.75,1
Network Engineer,Sales & Marketing,28,Female,Single,3,,,,463.88,0
IT Support Engineer,Customer Service,51,Female,Single,1,,,,379.33,0
Customer Support Agent,Field Operations,28,Female,Married,8,,,,410.17,0
Data Scientist,Billing,40,Male,Single,7,,,,509.33,0
Network Engineer,Data Analytics,37,Male,Married,5,,,,514.17,0
Marketing Analyst,Customer Service,45,Male,Married,3,,,,589.04,0
Billing Specialist,Human Resources,40,Male,Married,4,Termination,8/4/2023,Restructuring,375.5416667,1
Network Engineer,IT & Software,26,Male,Single,8,,,,198.88,0
Data Scientist,Project Management,33,Male,Married,5,,,,248.67,0
HR Specialist,Data Analytics,52,Male,Single,2,,,,302.0,0
Data Scientist,Sales & Marketing,38,Female,Single,6,,,,322.29,0
Software Developer,IT & Software,43,Female,Single,2,,,,368.0,0
Billing Specialist,Sales & Marketing,25,Female,Married,6,Resignation,10/30/2024,Work-life balance,337.5833333,1
Data Scientist,Human Resources,60,Female,Married,1,Retirement,11/21/2023,Career growth,440.6666667,1
HR Specialist,Data Analytics,38,Female,Single,7,,,,384.67,0
Software Developer,IT & Software,51,Female,Married,2,,,,178.08,0
Marketing Analyst,Field Operations,38,Female,Single,4,Termination,4/9/2023,Better opportunity,404.25,1
Marketing Analyst,IT & Software,29,Male,Single,2,,,,497.04,0
Product Manager,Field Operations,25,Female,Single,8,,,,134.33,0
Marketing Analyst,Field Operations,28,Male,Single,4,,,,306.83,0
Product Manager,Project Management,56,Male,Married,3,Resignation,1/17/2024,Career growth,368.1666667,1
IT Support Engineer,Customer Service,34,Female,Married,8,,,,364.92,0
IT Support Engineer,Field Operations,49,Male,Single,5,,,,333.42,0
Project Manager,Data Analytics,23,Female,Single,1,,,,334.29,0
Data Scientist,Field Operations,33,Male,Married,8,,,,469.17,0
Telecom Technician,Field Operations,38,Male,Single,8,,,,486.17,0
Project Manager,Field Operations,42,Male,Married,6,,,,330.88,0
Product Manager,Human Resources,33,Male,Married,8,,,,422.79,0
IT Support Engineer,Customer Service,31,Male,Married,2,,,,248.79,0
IT Support Engineer,Project Management,58,Female,Married,2,,,,506.08,0
Data Scientist,Network Operations,45,Male,Married,1,,,,525.79,0
Product Manager,Human Resources,58,Female,Married,7,,,,152.88,0
Project Manager,Customer Service,60,Female,Single,4,Retirement,3/25/2023,Performance issues,503.9166667,1
Project Manager,Field Operations,53,Female,Married,7,,,,462.54,0
Customer Support Agent,Field Operations,49,Male,Single,3,,,,710.17,0
IT Support Engineer,Billing,39,Male,Single,6,Termination,10/13/2022,Policy violation,593.5416667,1
Data Scientist,Field Operations,44,Female,Married,5,,,,318.13,0
Marketing Analyst,Project Management,42,Female,Single,1,Resignation,10/26/2023,Policy violation,445.875,1
IT Support Engineer,IT & Software,54,Male,Married,3,,,,329.54,0
Marketing Analyst,Project Management,39,Female,Single,8,,,,385.63,0
Network Engineer,Human Resources,39,Female,Married,2,,,,490.42,0
Data Scientist,Billing,45,Male,Married,7,,,,576.33,0
Telecom Technician,Sales & Marketing,49,Female,Single,4,Termination,2/27/2024,Pursuing education,464.125,1
Billing Specialist,Field Operations,32,Male,Single,2,,,,294.54,0
Sales Executive,Field Operations,35,Male,Single,4,,,,167.58,0
Customer Support Agent,Sales & Marketing,32,Male,Single,5,,,,207.63,0
Billing Specialist,Human Resources,38,Female,Single,8,,,,137.08,0
Telecom Technician,Customer Service,23,Male,Married,6,,,,256.88,0
Sales Executive,Sales & Marketing,58,Male,Married,3,,,,576.17,0
